Temp 0           | 38 degrees C      | ok
Temp 2           | 40 degrees C      | ok
Temp 3           | 39 degrees C      | ok
MP Temp 0        | 37 degrees C      | ok
TOP Temp 0       | 38 degrees C      | ok
TOP Temp 1       | 39 degrees C      | ok
TOP Temp 2       | 39 degrees C      | ok
V18 Voltage      | 1.80 Volts        | ok
V09 Voltage      | 0.90 Volts        | ok
VCORE Voltage    | 0.90 Volts        | ok
DRAM VDD Voltage | 1.50 Volts        | ok
Node Current     | 0.90 Amps         | ok
Node Power       | 4.50 Watts        | ok
Server Node      | Phy FRU @00h 07.1 | ok
CX ECME          | Dynamic MC @ 20h  | ok
OS Stop Reason   | Not Readable      | ns
BMC Status       | Not Readable      | ns
DDR Mem Err      | Not Readable      | ns
L2 Cache Err     | Not Readable      | ns
CPU1 Err         | Not Readable      | ns
CPU2 Err         | Not Readable      | ns
CPU3 Err         | Not Readable      | ns
CPU4 Err         | Not Readable      | ns
CPU Core         | Not Readable      | ns
OS Boot Reason   | Not Readable      | ns
OS Watchdog      | Not Readable      | ns
ECME Watchdog    | Not Readable      | ns
ECME Boot        | Not Readable      | ns
ECME Firmware    | Not Readable      | ns
Temp 0           | 38 degrees C      | ok
Temp 1           | 38 degrees C      | ok
Temp 2           | 40 degrees C      | ok
Temp 3           | 39 degrees C      | ok
MP Temp 0        | 37 degrees C      | ok
TOP Temp 0       | 38 degrees C      | ok
TOP Temp 1       | 39 degrees C      | ok
TOP Temp 2       | 39 degrees C      | ok
V18 Voltage      | 1.80 Volts        | ok
V09 Voltage      | 0.90 Volts        | ok
VCORE Voltage    | 0.90 Volts        | ok
DRAM VDD Voltage | 1.50 Volts        | ok
Node Current     | 0.90 Amps         | ok
Node Power       | 4.50 Watts        | ok
Server Node      | Phy FRU @00h 07.1 | ok
CX ECME          | Dynamic MC @ 20h  | ok
OS Stop Reason   | Not Readable      | ns
BMC Status       | Not Readable      | ns
DDR Mem Err      | Not Readable      | ns
L2 Cache Err     | Not Readable      | ns
CPU1 Err         | Not Readable      | ns
CPU2 Err         | Not Readable      | ns
CPU3 Err         | Not Readable      | ns
CPU4 Err         | Not Readable      | ns
CPU Core         | Not Readable      | ns
OS Boot Reason   | Not Readable      | ns
OS Watchdog      | Not Readable      | ns
ECME Watchdog    | Not Readable      | ns
ECME Boot        | Not Readable      | ns
ECME Firmware    | Not Readable      | ns
Temp 0           | 38 degrees C      | ok
Temp 1           | 38 degrees C      | ok
Temp 2           | 40 degrees C      | ok
Temp 3           | 39 degrees C      | ok
MP Temp 0        | 37 degrees C      | ok
TOP Temp 0       | 38 degrees C      | ok
TOP Temp 1       | 39 degrees C      | ok
TOP Temp 2       | 39 degrees C      | ok
V18 Voltage      | 1.80 Volts        | ok
V09 Voltage      | 0.90 Volts        | ok
VCORE Voltage    | 0.90 Volts        | ok
DRAM VDD Voltage | 1.50 Volts        | ok
Node Current     | 0.90 Amps         | ok
Node Power       | 4.50 Watts        | ok
Server Node      | Phy FRU @00h 07.1 | ok
CX ECME          | Dynamic MC @ 20h  | ok
OS Stop Reason   | Not Readable      | ns
BMC Status       | Not Readable      | ns
DDR Mem Err      | Not Readable      | ns
L2 Cache Err     | Not Readable      | ns
CPU1 Err         | Not Readable      | ns
CPU2 Err         | Not Readable      | ns
CPU3 Err         | Not Readable      | ns
CPU4 Err         | Not Readable      | ns
CPU Core         | Not Readable      | ns
OS Boot Reason   | Not Readable      | ns
OS Watchdog      | Not Readable      | ns
ECME Watchdog    | Not Readable      | ns
ECME Boot        | Not Readable      | ns
ECME Firmware    | Not Readable      | ns
